ident,type,name,lat,lon,country,region,city
KLBB,large_airport,Lubbock Preston Smith International Airport,33.663601,-101.822998,US,US-TX,Lubbock
KLCK,large_airport,Rickenbacker International Airport,39.813801,-82.927803,US,US-OH,Columbus
KLEX,large_airport,Blue Grass Airport,38.036499,-84.605904,US,US-KY,Lexington
KLFT,large_airport,Lafayette Regional Airport,30.205299,-91.987602,US,US-LA,Lafayette
KLGA,large_airport,La Guardia Airport,40.777199,-73.872597,US,US-NY,New York
KLIT,large_airport,Bill & Hillary Clinton National Airport/Adams Field,34.729401,-92.224297,US,US-AR,Little Rock
KMBS,large_airport,MBS International Airport,43.532902,-84.079597,US,US-MI,Saginaw
KMCI,large_airport,Kansas City International Airport,39.297600,-94.713898,US,US-MO,Kansas City
KMCO,large_airport,Orlando International Airport,28.429399,-81.308998,US,US-FL,Orlando
KMDW,large_airport,Chicago Midway International Airport,41.785999,-87.752403,US,US-IL,Chicago
KMEM,large_airport,Memphis International Airport,35.042400,-89.976700,US,US-TN,Memphis
KMGE,large_airport,Dobbins Air Reserve Base,33.915401,-84.516296,US,US-GA,Marietta
KMGM,large_airport,Montgomery Regional (Dannelly Field) Airport,32.300598,-86.393997,US,US-AL,Montgomery
KMHT,large_airport,Manchester-Boston Regional Airport,42.932598,-71.435699,US,US-NH,Manchester
KMIA,large_airport,Miami International Airport,25.793200,-80.290604,US,US-FL,Miami
KMKE,large_airport,General Mitchell International Airport,42.947201,-87.896599,US,US-WI,Milwaukee
KMLI,large_airport,Quad City International Airport,41.448502,-90.507500,US,US-IL,Moline
KMLU,large_airport,Monroe Regional Airport,32.510899,-92.037697,US,US-LA,Monroe
KMOB,large_airport,Mobile Regional Airport,30.691200,-88.242798,US,US-AL,Mobile
KMSN,large_airport,Dane County Regional Truax Field,43.139900,-89.337502,US,US-WI,Madison
KMSP,large_airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882000,-93.221802,US,US-MN,Minneapolis
KMSY,large_airport,Louis Armstrong New Orleans International Airport,29.993401,-90.258003,US,US-LA,New Orleans
KNYL,large_airport,Yuma International Airport / Marine Corps Air Station Yuma,32.656601,-114.606003,US,US-AZ,Yuma
