year,month,airline,count
2019,11,SWA,62937
2019,11,SCX,1292
2019,11,FFT,4878
2019,11,UAL,34338
2019,12,SCX,1347
2019,12,SWA,64697
2019,12,SKW,17630
2019,12,UAL,32764
2019,12,DAL,43332
2019,12,NKS,8702
2019,12,AAY,868
2019,12,AAL,50819
2019,12,FFT,4500
2019,12,JBU,11848
2020,1,UAL,31508
2020,1,AAL,49057
2020,1,FFT,5222
2020,1,SWA,62539
2020,1,AAY,775
2020,1,NKS,9111
2020,1,SCX,1105
2020,1,JBU,12376
2020,1,SKW,18944
2020,1,DAL,45237
2020,2,SKW,19515
2020,2,AAL,47051
2020,2,JBU,12290
2020,2,NKS,9461
2020,2,DAL,45899
2020,2,SWA,61301
2020,2,SCX,1112
2020,2,FFT,5133
2020,2,UAL,32402
2020,2,AAY,808
2020,3,SWA,56018
2020,3,FFT,4377
2020,3,DAL,38118
2020,3,NKS,8903
2020,3,SCX,966
2020,3,JBU,11204
2020,3,UAL,28467
2020,3,SKW,19091
2020,3,AAL,43027
2020,3,AAY,695
2020,4,AAL,17269
2020,4,DAL,11505
2020,4,JBU,2286
2020,4,NKS,2593
2020,4,FFT,658
2020,4,AAY,65
2020,4,SKW,8394
2020,4,SWA,27099
2020,4,UAL,6815
2020,4,SCX,144
2020,5,JBU,1474
2020,5,DAL,10304
2020,5,SCX,316
2020,5,SKW,7760
2020,5,FFT,1152
2020,5,AAY,562
2020,5,AAL,15739
2020,5,UAL,5121
2020,5,NKS,739
2020,5,SWA,26205
2020,6,JBU,3126
2020,6,AAY,1475
2020,6,SWA,38557
2020,6,UAL,4250
2020,6,AAL,20532
2020,6,FFT,2072
2020,6,DAL,12822
2020,6,SKW,8119
2020,6,SCX,665
2020,6,NKS,2379
2020,7,AAY,1627
2020,7,SKW,12033
2020,7,AAL,33050
2020,7,NKS,8168
2020,7,JBU,5763
2020,7,SWA,49858
2020,7,FFT,3567
2020,7,DAL,21441
2020,7,UAL,8932
2020,7,SCX,1123
2020,8,SCX,998
2020,8,JBU,4788
2020,8,UAL,13702
2020,8,AAL,29262
2020,8,AAY,1341
2020,8,SKW,14950
2020,8,DAL,27232
2020,8,SWA,53665
2020,8,NKS,6561
2020,8,FFT,3666
2020,9,AAY,808
2020,9,AAL,29685
2020,9,SWA,40877
2020,9,JBU,4135
2020,9,SKW,14301
2020,9,SCX,902
2020,9,NKS,4277
2020,9,FFT,3910
2020,9,UAL,11100
2020,9,DAL,27312
2020,10,SCX,1199
2020,10,UAL,14739
2020,10,NKS,5250
2020,10,AAY,1133
2020,10,SWA,40749
2020,10,DAL,28707
2020,10,AAL,31115
2020,10,JBU,5569
2020,10,SKW,15993
2020,10,FFT,4368
2020,11,AAL,28634
2020,11,UAL,14851
2020,11,SCX,1239
2020,11,AAY,927
2020,11,FFT,4061
2020,11,JBU,6180
2020,11,NKS,6765
2020,11,DAL,29443
2020,11,SWA,42913
2020,11,SKW,16862
2020,12,UAL,15196
2020,12,SKW,19988
2020,12,AAY,888
2020,12,NKS,6991
2020,12,AAL,28474
2020,12,SCX,1121
2020,12,DAL,34027
2020,12,JBU,5914
2020,12,SWA,39305
2020,12,FFT,4025
2021,1,UAL,13792
2021,1,SKW,19263
2021,1,DAL,33706
2021,1,FFT,3738
2021,1,AAL,27919
2021,1,SCX,978
2021,1,NKS,6709
2021,1,SWA,37932
2021,1,JBU,5131
2021,1,AAY,718
2021,2,JBU,6207
2021,2,UAL,12814
2021,2,AAY,977
2021,2,SCX,1182
2021,2,SKW,18008
2021,2,SWA,33004
2021,2,FFT,4325
2021,2,NKS,6232
2021,2,AAL,24303
2021,2,DAL,31342
2021,3,DAL,38864
2021,3,UAL,16183
2021,3,SWA,51805
2021,3,SCX,1469
2021,3,AAY,1836
2021,3,AAL,34057
2021,3,FFT,6860
2021,3,JBU,8732
2021,3,NKS,8692
2021,3,SKW,21983
