year,month,week,airline,count
2019,5,18,JBU,981
2019,5,18,DAL,4082
2019,5,18,AAL,5197
2019,5,18,AAY,53
2019,5,18,FFT,496
2019,5,18,SCX,129
2019,5,19,FFT,734
2019,5,19,AAL,7776
2019,5,19,DAL,5887
2019,5,19,SCX,175
2019,5,19,SKW,2465
2019,5,19,NKS,1287
2019,5,19,JBU,1520
2019,5,19,SWA,10066
2019,5,19,AAY,81
2019,5,19,UAL,4711
2019,5,20,DAL,6368
2019,5,20,AAL,8029
2019,5,20,FFT,729
2019,5,20,AAY,92
2019,5,20,SCX,182
2019,5,20,NKS,1347
2019,5,20,SKW,2520
2019,5,20,UAL,4813
2019,5,20,SWA,10980
2019,5,20,JBU,1588
2019,5,21,UAL,4745
2019,5,21,AAY,97
2019,5,21,NKS,1415
2019,5,21,FFT,754
2019,5,21,SCX,212
2019,5,21,SWA,10427
2019,5,21,JBU,1573
2019,5,21,SKW,2483
2019,5,21,DAL,6516
2019,5,21,AAL,7555
2019,5,22,NKS,965
2019,5,22,JBU,1057
2019,5,22,UAL,3420
2019,5,22,SKW,1739
2019,5,22,AAL,5225
2019,5,22,SWA,7029
2019,5,22,AAY,79
2019,5,22,SCX,160
2019,5,22,DAL,4973
2019,5,22,FFT,558
2019,6,22,SWA,2429
2019,6,22,NKS,343
2019,6,22,FFT,197
2019,6,22,DAL,1572
2019,6,22,SKW,604
2019,6,22,AAL,1842
2019,6,22,UAL,1060
2019,6,22,SCX,60
2019,6,22,AAY,20
2019,6,22,JBU,324
2019,6,23,UAL,4246
2019,6,23,DAL,6421
2019,6,23,AAL,7272
2019,6,23,AAY,83
2019,6,23,SCX,271
2019,6,23,SWA,9261
2019,6,23,NKS,1224
2019,6,23,JBU,1346
2019,6,23,FFT,677
2019,6,23,SKW,2081
2019,6,24,SCX,296
2019,6,24,UAL,5107
2019,6,24,AAL,7864
2019,6,24,DAL,7799
2019,6,24,AAY,108
2019,6,24,NKS,1346
2019,6,24,SKW,2069
2019,6,24,FFT,700
2019,6,24,JBU,1462
2019,6,24,SWA,10595
2019,6,25,JBU,1593
2019,6,25,AAL,7143
2019,6,25,FFT,778
2019,6,25,AAY,101
2019,6,25,SWA,10752
2019,6,25,DAL,8077
2019,6,25,SKW,2480
2019,6,25,SCX,290
2019,6,25,UAL,4768
2019,6,25,NKS,1355
2019,6,26,UAL,5425
2019,6,26,JBU,1945
2019,6,26,NKS,1649
2019,6,26,SCX,303
2019,6,26,AAY,136
2019,6,26,FFT,839
2019,6,26,SKW,2710
2019,6,26,AAL,8154
2019,6,26,SWA,11057
2019,6,26,DAL,7975
2019,7,27,AAY,123
2019,7,27,NKS,1668
2019,7,27,FFT,884
2019,7,27,SCX,335
2019,7,27,SKW,2358
2019,7,27,SWA,11539
2019,7,27,AAL,7861
2019,7,27,JBU,1928
2019,7,27,UAL,5658
2019,7,27,DAL,6899
2019,7,28,AAL,7608
2019,7,28,SWA,11915
2019,7,28,DAL,8870
2019,7,28,NKS,1534
2019,7,28,JBU,1947
2019,7,28,AAY,103
2019,7,28,SKW,2808
2019,7,28,FFT,730
2019,7,28,UAL,5721
2019,7,28,SCX,336
2019,7,29,NKS,1639
2019,7,29,AAL,7460
2019,7,29,SKW,2710
2019,7,29,SCX,336
2019,7,29,UAL,5707
2019,7,29,AAY,126
2019,7,29,DAL,9077
2019,7,29,SWA,12535
2019,7,29,FFT,791
2019,7,29,JBU,1857
2019,7,30,FFT,815
2019,7,30,AAY,204
2019,7,30,AAL,7593
2019,7,30,SKW,2800
2019,7,30,UAL,5491
2019,7,30,SCX,339
2019,7,30,JBU,1964
2019,7,30,DAL,9075
2019,7,30,NKS,1571
2019,7,30,SWA,12258
2019,7,31,AAL,3180
2019,7,31,AAY,81
2019,7,31,NKS,634
2019,7,31,SCX,148
2019,7,31,SWA,5521
2019,7,31,SKW,1234
2019,7,31,FFT,333
2019,7,31,JBU,806
2019,7,31,DAL,3848
2019,7,31,UAL,2358
2019,8,31,NKS,1023
2019,8,31,AAY,119
2019,8,31,SCX,189
2019,8,31,SWA,7087
2019,8,31,AAL,4825
2019,8,31,SKW,1795
2019,8,31,UAL,3194
2019,8,31,JBU,1167
2019,8,31,DAL,5395
2019,8,31,FFT,549
2019,8,32,JBU,2261
2019,8,32,SKW,3715
2019,8,32,SCX,369
2019,8,32,SWA,13721
2019,8,32,DAL,10917
2019,8,32,FFT,1091
2019,8,32,UAL,6753
2019,8,32,AAY,194
2019,8,32,AAL,10019
2019,8,32,NKS,2112
2019,8,33,NKS,1869
2019,8,33,AAY,161
2019,8,33,SKW,3667
2019,8,33,DAL,9428
2019,8,33,SCX,395
2019,8,33,FFT,1038
2019,8,33,JBU,2250
2019,8,33,SWA,14761
2019,8,33,AAL,9469
2019,8,33,UAL,6593
2019,8,34,NKS,1756
2019,8,34,SKW,3772
2019,8,34,UAL,6899
2019,8,34,JBU,2160
2019,8,34,DAL,9016
2019,8,34,AAY,117
2019,8,34,SWA,14497
2019,8,34,SCX,379
2019,8,34,AAL,9564
2019,8,34,FFT,1053
2019,8,35,SCX,337
2019,8,35,NKS,2016
2019,8,35,DAL,7816
2019,8,35,UAL,5925
2019,8,35,JBU,2202
2019,8,35,FFT,1021
2019,8,35,AAY,123
2019,8,35,SWA,13430
2019,8,35,SKW,3357
2019,8,35,AAL,8761
2019,9,35,UAL,777
2019,9,35,AAL,972
2019,9,35,DAL,783
2019,9,35,JBU,364
2019,9,35,SKW,384
2019,9,35,FFT,151
2019,9,35,AAY,27
2019,9,35,NKS,265
2019,9,35,SWA,1429
2019,9,35,SCX,56
2019,9,36,NKS,1944
2019,9,36,SWA,13286
2019,9,36,SKW,3294
2019,9,36,UAL,5986
2019,9,36,JBU,2285
2019,9,36,SCX,309
2019,9,36,AAY,147
2019,9,36,DAL,7235
2019,9,36,AAL,9825
2019,9,36,FFT,962
2019,9,37,NKS,1899
2019,9,37,UAL,6634
2019,9,37,AAL,10007
2019,9,37,SWA,14064
2019,9,37,AAY,135
2019,9,37,JBU,2642
2019,9,37,FFT,1050
2019,9,37,DAL,7948
2019,9,37,SKW,3486
2019,9,37,SCX,264
2019,9,38,NKS,1445
2019,9,38,DAL,6636
2019,9,38,SCX,229
2019,9,38,SWA,11417
2019,9,38,SKW,2815
2019,9,38,AAL,8753
2019,9,38,UAL,4852
2019,9,38,JBU,2078
2019,9,38,FFT,820
2019,9,38,AAY,82
2019,9,39,AAL,11016
2019,9,39,SCX,304
2019,9,39,SWA,13725
2019,9,39,NKS,1939
2019,9,39,UAL,6794
2019,9,39,AAY,126
2019,9,39,SKW,3360
2019,9,39,DAL,7563
2019,9,39,JBU,2781
2019,9,39,FFT,1101
2019,9,40,JBU,417
2019,9,40,SWA,2088
2019,9,40,FFT,146
2019,9,40,NKS,287
2019,9,40,UAL,1156
2019,9,40,DAL,1186
2019,9,40,AAY,23
2019,9,40,SCX,61
2019,9,40,AAL,1715
2019,9,40,SKW,546
2019,10,40,SCX,229
2019,10,40,AAL,9641
2019,10,40,FFT,876
2019,10,40,AAY,150
2019,10,40,JBU,2220
2019,10,40,SKW,2963
2019,10,40,NKS,1538
2019,10,40,SWA,11913
2019,10,40,UAL,6762
2019,10,40,DAL,5936
2019,10,41,AAL,11209
2019,10,41,SKW,3633
2019,10,41,SWA,14310
2019,10,41,SCX,273
2019,10,41,JBU,2607
2019,10,41,UAL,7531
2019,10,41,DAL,7354
2019,10,41,FFT,1051
2019,10,41,AAY,182
2019,10,41,NKS,1792
2019,10,42,SWA,15152
2019,10,42,FFT,1209
2019,10,42,SCX,355
2019,10,42,JBU,2925
2019,10,42,AAY,202
2019,10,42,AAL,11925
2019,10,42,NKS,2066
2019,10,42,DAL,7998
2019,10,42,SKW,3793
2019,10,42,UAL,8492
2019,10,43,SCX,267
2019,10,43,SWA,15319
2019,10,43,DAL,7412
2019,10,43,SKW,3716
2019,10,43,FFT,1220
2019,10,43,NKS,2059
2019,10,43,AAL,11663
2019,10,43,JBU,2858
2019,10,43,AAY,196
2019,10,43,UAL,8603
2019,10,44,SKW,1999
2019,10,44,FFT,666
2019,10,44,AAL,6737
2019,10,44,NKS,1082
2019,10,44,DAL,3459
2019,10,44,UAL,4616
2019,10,44,JBU,1673
2019,10,44,AAY,76
2019,10,44,SCX,166
2019,10,44,SWA,8830
2019,11,44,UAL,3197
2019,11,44,DAL,2522
2019,11,44,NKS,865
2019,11,44,AAY,95
2019,11,44,JBU,1143
2019,11,44,FFT,463
2019,11,44,SCX,120
2019,11,44,SKW,1428
2019,11,44,AAL,4561
2019,11,44,SWA,5816
2019,11,45,SWA,14664
2019,11,45,DAL,7475
2019,11,45,UAL,8213
2019,11,45,NKS,1956
2019,11,45,AAL,12189
2019,11,45,SKW,3809
2019,11,45,JBU,2785
2019,11,45,SCX,282
2019,11,45,FFT,1102
2019,11,45,AAY,166
2019,11,46,UAL,8131
2019,11,46,SWA,15102
2019,11,46,DAL,8183
2019,11,46,AAL,12140
2019,11,46,SCX,291
2019,11,46,SKW,3865
2019,11,46,AAY,181
2019,11,46,FFT,1195
2019,11,46,JBU,2973
2019,11,46,NKS,2000
2019,11,47,FFT,1211
2019,11,47,SWA,15672
2019,11,47,JBU,3006
2019,11,47,SKW,3716
2019,11,47,DAL,8377
2019,11,47,SCX,295
2019,11,47,UAL,8269
2019,11,47,NKS,2173
2019,11,47,AAL,12440
2019,11,47,AAY,184
2019,11,48,DAL,5729
2019,11,48,AAL,9015
2019,11,48,SKW,2684
2019,11,48,AAY,169
2019,11,48,FFT,907
2019,11,48,UAL,6528
2019,11,48,SCX,304
2019,11,48,SWA,11683
2019,11,48,NKS,1806
2019,11,48,JBU,2466
2019,12,1,AAL,3791
2019,12,1,SKW,1222
2019,12,1,SCX,125
2019,12,1,AAY,78
2019,12,1,FFT,326
2019,12,1,JBU,821
2019,12,1,DAL,2902
2019,12,1,NKS,661
2019,12,1,UAL,2235
2019,12,1,SWA,4517
2019,12,48,AAL,1815
2019,12,48,UAL,1247
2019,12,48,DAL,1274
2019,12,48,NKS,289
2019,12,48,SCX,53
2019,12,48,JBU,386
2019,12,48,SWA,2033
2019,12,48,AAY,39
2019,12,48,SKW,528
2019,12,48,FFT,143
2019,12,49,SWA,14932
2019,12,49,AAL,11894
2019,12,49,SCX,266
2019,12,49,SKW,3643
2019,12,49,UAL,7964
2019,12,49,AAY,169
2019,12,49,NKS,1792
2019,12,49,DAL,9665
2019,12,49,JBU,2728
2019,12,49,FFT,1015
2019,12,50,SKW,3398
2019,12,50,UAL,6592
2019,12,50,SWA,13038
2019,12,50,NKS,1592
2019,12,50,JBU,2485
2019,12,50,SCX,211
2019,12,50,FFT,884
2019,12,50,DAL,8722
2019,12,50,AAL,10142
2019,12,50,AAY,171
2019,12,51,DAL,10836
2019,12,51,UAL,7402
2019,12,51,FFT,989
2019,12,51,AAY,203
2019,12,51,SCX,316
2019,12,51,JBU,2703
2019,12,51,SKW,4605
2019,12,51,SWA,15205
2019,12,51,NKS,1993
2019,12,51,AAL,11646
2019,12,52,FFT,1143
2019,12,52,DAL,9933
2019,12,52,AAY,208
2019,12,52,SCX,376
2019,12,52,SKW,4234
2019,12,52,SWA,14972
2019,12,52,NKS,2375
2019,12,52,JBU,2725
2019,12,52,UAL,7324
2019,12,52,AAL,11531
2020,1,1,DAL,6015
2020,1,1,SWA,9981
2020,1,1,SKW,2925
2020,1,1,FFT,862
2020,1,1,UAL,5161
2020,1,1,AAL,8319
2020,1,1,NKS,1606
2020,1,1,AAY,160
2020,1,1,JBU,1838
2020,1,1,SCX,246
2020,1,2,DAL,11202
2020,1,2,AAL,11510
2020,1,2,JBU,2909
2020,1,2,SKW,4492
